"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%MMA%User",1,1,1
"PV",,23.7811%,23.7811%,23.7811%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%MMA%User",4,4,4
"PV",,76.2189%,76.2189%,76.2189%
"MK",," "," "," "
"TE"
"TB","25"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",18,18,18
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%NCL%Total Usership",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%NCL%Total Usership",8,8,8
"PV",,77.8941%,77.8941%,77.8941%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%NCL%Total Usership",2,2,2
"PV",,22.1059%,22.1059%,22.1059%
"MK",," "," "," "
"TE"
"TB","26"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",18,18,18
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%NCL%User",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%NCL%User",8,8,8
"PV",,77.8941%,77.8941%,77.8941%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%NCL%User",2,2,2
"PV",,22.1059%,22.1059%,22.1059%
"MK",," "," "," "
"TE"
"TB","28"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",9,9,9
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%SL%Total Usership",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%SL%Total Usership",6,6,6
"PV",,55.6658%,55.6658%,55.6658%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%SL%Total Usership",5,5,5
"PV",,44.3342%,44.3342%,44.3342%
"MK",," "," "," "
"TE"
"TB","29"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",9,9,9
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%SL%User",11,11,11
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%SL%User",6,6,6
"PV",,55.6658%,55.6658%,55.6658%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%SL%User",5,5,5
"PV",,44.3342%,44.3342%,44.3342%
"MK",," "," "," "
"TE"
"TB","31"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",9,9,9
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%VIS%Total Usership",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%VIS%Total Usership",1,1,1
"PV",,17.8417%,17.8417%,17.8417%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%VIS%Total Usership",4,4,4
"PV",,82.1583%,82.1583%,82.1583%
"MK",," "," "," "
"TE"
"TB","32"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",9,9,9
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%VIS%User",5,5,5
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%VIS%User",1,1,1
"PV",,17.8417%,17.8417%,17.8417%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%VIS%User",4,4,4
"PV",,82.1583%,82.1583%,82.1583%
"MK",," "," "," "
"TE"
"TB","34"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",6,6,6
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",12,12,12
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",6,6,6
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",4,4,4
"PV",,63.6749%,63.6749%,63.6749%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%MIN%Total Usership",2,2,2
"PV",,36.3251%,36.3251%,36.3251%
"MK",," "," "," "
"TE"
"TB","35"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",6,6,6
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",12,12,12
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Youth (21 yo below)%MIN%User",6,6,6
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Youth (21 yo below)%MIN%User",4,4,4
"PV",,63.6749%,63.6749%,63.6749%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Youth (21 yo below)%MIN%User",2,2,2
"PV",,36.3251%,36.3251%,36.3251%
"MK",," "," "," "
"TE"
"TB","37"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",63,63,63
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",85,85,85
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",63,63,63
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",31,31,31
"PV",,49.6063%,49.6063%,49.6063%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%Total Usership",32,32,32
"PV",,50.3937%,50.3937%,50.3937%
"MK",," "," "," "
"TE"
"TB","38"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",63,63,63
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",85,85,85
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",63,63,63
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",31,31,31
"PV",,49.6063%,49.6063%,49.6063%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Yuppies (22-29 yo)%Total Region%User",32,32,32
"PV",,50.3937%,50.3937%,50.3937%
"MK",," "," "," "
"TE"
"TB","40"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",14,14,14
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",11,11,11
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Yuppies (22-29 yo)%MMA%Total Usership",14,14,14
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Yuppies (22-29 yo)%MMA%Total Usership",7,7,7
"PV",,53.6456%,53.6456%,53.6456%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Yuppies (22-29 yo)%MMA%Total Usership",6,6,6
"PV",,46.3544%,46.3544%,46.3544%
"MK",," "," "," "
"TE"
"TB","41"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",14,14,14
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",11,11,11
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Yuppies (22-29 yo)%MMA%User",14,14,14
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Yuppies (22-29 yo)%MMA%User",7,7,7
"PV",,53.6456%,53.6456%,53.6456%
"MK",," "," "," "
"BL"
"RW","P2M%Female%GCash%Total SEC%Yuppies (22-29 yo)%MMA%User",6,6,6
"PV",,46.3544%,46.3544%,46.3544%
"MK",," "," "," "
"TE"
"TB","43"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024"
"RT","TOTAL",10,10,10
"PV",,100.0000%,100.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",20,20,20
"BL"
"RW","P2M%Total Gender%GCash%Total SEC%Yuppies (22-29 yo)%NCL%Total Usership",10,10,10
"PV",,100.0000%,100.0000%,100.0000%
"MK",," "," "," "
"BL"
"RW","P2M%Male%GCash%Total SEC%Yuppies (22-29 yo)%NCL%Total Usership",6,6,6
"PV",,54.5624%,54.5624%,54.5624%
"MK",," "," "," "
"BL"
